,CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,SOIL_PH,CROP_DURATION,WATERSOURCE,TEMP,WATER_REQUIRED,RELATIVE_HUMIDITY
2486,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.3,170,irrigated,17.51,706,69.1
1659,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.8,130,rainfed,23.53,966,79.29
527,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.0,100,"irrigated,rainfall",26.69,1173,19.87
1486,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,7.0,112,"irrigated,rainfall",29.92,952,60.0
2375,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,301,irrigated,26.89,1548,79.31
1609,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,126,rainfed,18.17,1307,80.94
596,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.6,100,"irrigated,rainfall",17.39,1177,15.37
84,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.8,150,"irrigated,rainfall",38.76,2451,74.74
2213,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.4,134,"irrigated,rainfall",34.09,1163,72.83
2055,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,5.5,138,"irrigated,rainfall",24.14,500,93.46
1961,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.6,94,"irrigated,rainfall",21.84,369,86.16
1864,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149,"irrigated,rainfall",18.51,615,65.0
2326,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.3,316,irrigated,23.54,2244,75.74
461,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.3,78,"irrigated,rainfall",42.96,412,91.83
109,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,90,"irrigated,rainfall",23.95,648,50.93
1962,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.2,90,"irrigated,rainfall",21.94,422,90.6
354,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.3,101,"irrigated,rainfall",33.13,496,93.17
266,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.47,606,68.52
1545,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.4,100,rainfed,28.83,800,69.76
530,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.5,103,"irrigated,rainfall",25.05,1107,19.5
2446,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,6.0,180,irrigated,21.42,601,72.57
290,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.4,107,"irrigated,rainfall",22.45,573,69.29
605,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,6.5,74,"irrigated,rainfall",32.42,339,18.26
1560,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,105,rainfed,25.26,800,50.57
416,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.4,79,"irrigated,rainfall",43.07,423,92.36
472,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.4,79,"irrigated,rainfall",43.26,427,92.8
931,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.3,120,rainfed,26.04,521,16.26
2279,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,139,"irrigated,rainfall",37.92,1268,76.03
2419,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,6.7,178,irrigated,16.69,605,76.03
808,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,5.8,85,"irrigated,rainfall",28.13,738,15.61
798,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,100,"irrigated,rainfall",28.42,731,19.84
2491,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.0,171,irrigated,17.45,706,67.58
930,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.8,120,rainfed,25.97,663,18.16
278,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.47,606,68.52
1517,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.3,104,rainfed,25.26,800,50.62
883,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,86,"irrigated,rainfall",27.35,705,17.48
1014,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.4,85,rainfed,20.0,819,17.05
18,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150,"irrigated,rainfall",28.03,1004,79.71
1234,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.3,100,"irrigated,rainfall",32.65,895,63.23
2401,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.8,162,irrigated,15.2,779,69.79
1972,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,8.0,85,"irrigated,rainfall",24.65,480,97.18
1532,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.4,100,rainfed,28.83,800,69.76
1902,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.3,90,"irrigated,rainfall",21.88,425,90.33
2133,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.0,135,"irrigated,rainfall",21.88,1298,73.19
1501,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,105,rainfed,25.26,800,50.57
1564,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,104,rainfed,25.26,800,50.57
219,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.47,606,68.52
618,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,7.0,75,"irrigated,rainfall",16.11,348,15.59
1247,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.3,100,"irrigated,rainfall",32.95,898,63.17
303,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.8,100,"irrigated,rainfall",38.79,498,93.39
1738,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,96,"irrigated,rainfall",15.32,683,89.76
2376,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,301,irrigated,26.89,1533,79.92
2008,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,8.4,160,"irrigated,rainfall",22.26,500,98.56
2064,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,8.4,160,"irrigated,rainfall",22.67,500,84.83
1295,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.3,100,"irrigated,rainfall",32.97,889,63.05
2201,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,137,"irrigated,rainfall",32.99,1197,71.9
879,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,86,"irrigated,rainfall",27.35,705,17.48
2158,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.0,135,"irrigated,rainfall",29.76,1257,71.82
1005,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.6,85,rainfed,20.0,884,16.11
1033,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.5,88,rainfed,20.0,730,15.44
1505,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.3,105,rainfed,25.26,800,50.57
1053,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.9,94,rainfed,20.0,897,18.22
1869,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,148,"irrigated,rainfall",18.63,615,65.0
1100,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.6,73,"irrigated,rainfall",24.13,837,17.76
192,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.6,82,"irrigated,rainfall",21.38,618,57.76
174,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,82,"irrigated,rainfall",21.68,619,56.98
765,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,100,"irrigated,rainfall",34.11,705,19.83
1378,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,75,"irrigated,rainfall",24.01,517,51.88
1566,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.4,100,rainfed,28.83,800,69.76
1904,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.7,93,"irrigated,rainfall",22.95,372,87.36
700,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,94,"irrigated,rainfall",34.39,572,15.93
128,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,90,"irrigated,rainfall",23.88,645,51.4
340,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.3,100,"irrigated,rainfall",31.99,501,94.13
2127,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.2,136,"irrigated,rainfall",28.83,1067,73.13
647,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,6.3,75,"irrigated,rainfall",39.36,337,17.09
1286,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.1,100,"irrigated,rainfall",31.57,922,63.66
307,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.2,95,"irrigated,rainfall",30.67,478,98.39
383,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.4,100,"irrigated,rainfall",31.5,509,93.99
1272,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.0,100,"irrigated,rainfall",30.66,944,63.96
2314,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,301,irrigated,26.89,1814,78.75
1263,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.0,100,"irrigated,rainfall",30.23,950,64.91
177,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,82,"irrigated,rainfall",21.65,609,57.02
426,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,85,"irrigated,rainfall",44.16,494,94.9
786,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,100,"irrigated,rainfall",39.07,487,19.68
1746,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",28.75,486,89.55
1099,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.5,89,rainfed,20.0,881,15.88
2389,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.4,316,irrigated,23.58,2237,75.59
184,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,83,"irrigated,rainfall",21.91,609,56.51
1591,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.4,100,rainfed,28.83,800,69.76
1989,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.5,95,"irrigated,rainfall",22.16,350,82.29
2495,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,6.6,179,irrigated,15.81,603,77.53
2285,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,140,"irrigated,rainfall",37.94,1298,71.44
1303,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,5.0,90,"irrigated,rainfall",20.4,400,54.88
961,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.0,120,rainfed,25.96,580,17.6
1639,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,129,rainfed,25.14,842,79.97
489,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,85,"irrigated,rainfall",44.19,494,94.9
761,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,100,"irrigated,rainfall",39.26,485,19.71
809,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,7.0,89,"irrigated,rainfall",28.93,629,19.87
2277,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,137,"irrigated,rainfall",34.17,1188,71.6
1429,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,7.0,120,"irrigated,rainfall",29.92,1000,60.0
1657,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,7.0,121,rainfed,18.1,1381,80.94
1525,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.2,104,rainfed,25.27,800,50.87
2086,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.3,142,"irrigated,rainfall",25.13,500,85.08
118,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,82,"irrigated,rainfall",21.62,609,57.08
1553,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.0,102,rainfed,25.42,800,52.59
281,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.7,105,"irrigated,rainfall",25.98,534,73.94
2185,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.1,135,"irrigated,rainfall",29.71,1162,71.25
2464,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,6.7,171,irrigated,17.24,708,66.54
1835,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",44.38,700,65.0
649,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,7.0,75,"irrigated,rainfall",44.11,336,19.95
727,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.7,97,"irrigated,rainfall",36.56,511,18.42
366,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.9,96,"irrigated,rainfall",33.47,466,98.54
1351,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,75,"irrigated,rainfall",24.01,517,51.88
555,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,7.1,103,"irrigated,rainfall",19.75,1144,16.84
1410,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,6.6,106,"irrigated,rainfall",29.34,849,60.0
2280,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,140,"irrigated,rainfall",37.94,1240,70.65
1913,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.5,95,"irrigated,rainfall",24.93,350,81.51
203,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.47,606,68.52
2113,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.1,136,"irrigated,rainfall",28.88,1159,72.31
120,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,83,"irrigated,rainfall",21.87,609,56.59
283,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.6,106,"irrigated,rainfall",25.24,518,71.52
575,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.3,102,"irrigated,rainfall",25.32,1125,19.0
1301,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,5.0,90,"irrigated,rainfall",27.88,411,54.77
2413,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.3,170,irrigated,17.5,706,68.96
275,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.9,105,"irrigated,rainfall",26.95,505,84.83
965,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.7,120,rainfed,26.74,614,17.38
1547,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.4,100,rainfed,28.83,800,69.76
360,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.1,104,"irrigated,rainfall",37.7,485,90.35
1127,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
767,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.5,100,"irrigated,rainfall",39.38,483,19.78
2003,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.2,144,"irrigated,rainfall",24.96,500,86.62
1726,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",29.98,467,89.75
1888,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149,"irrigated,rainfall",17.75,625,65.0
286,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.9,105,"irrigated,rainfall",26.92,505,82.77
2102,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.2,136,"irrigated,rainfall",28.89,1081,74.76
1094,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.9,94,rainfed,20.0,898,19.08
888,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.2,86,"irrigated,rainfall",27.51,706,17.2
423,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,81,"irrigated,rainfall",44.19,483,94.9
1808,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,150,"irrigated,rainfall",15.89,608,65.0
2347,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,301,irrigated,26.89,1533,79.89
1587,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.4,100,rainfed,28.83,800,69.76
840,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,5.6,85,"irrigated,rainfall",28.78,780,15.26
65,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.4,150,"irrigated,rainfall",30.42,1215,78.85
1645,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,123,rainfed,25.68,955,80.59
1710,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",30.57,466,89.75
1457,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,7.0,120,"irrigated,rainfall",29.92,655,60.0
1559,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,104,rainfed,25.26,800,50.59
230,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.48,603,68.6
1575,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.3,105,rainfed,25.26,800,50.58
1569,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,105,rainfed,25.26,800,50.57
1185,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
889,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,86,"irrigated,rainfall",27.36,712,17.23
1399,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,78,"irrigated,rainfall",24.47,503,51.89
729,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.7,99,"irrigated,rainfall",39.16,495,18.12
736,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,92,"irrigated,rainfall",33.1,718,15.29
1073,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.9,94,rainfed,20.0,899,19.78
374,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.2,104,"irrigated,rainfall",38.64,513,90.26
759,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,100,"irrigated,rainfall",26.15,742,19.85
2250,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,135,"irrigated,rainfall",36.5,1083,71.27
1667,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.8,130,rainfed,23.61,965,79.95
297,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.9,105,"irrigated,rainfall",26.73,505,83.38
598,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.7,104,"irrigated,rainfall",23.93,1093,18.72
1971,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.5,95,"irrigated,rainfall",24.67,350,81.51
99,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,8.0,150,"irrigated,rainfall",25.75,960,79.86
1054,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.5,86,rainfed,20.0,863,16.31
1779,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,91,"irrigated,rainfall",27.25,480,89.62
1237,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.4,100,"irrigated,rainfall",34.58,997,60.26
529,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.2,103,"irrigated,rainfall",26.25,1130,19.6
1933,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.4,90,"irrigated,rainfall",22.45,421,91.41
1612,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.8,127,rainfed,23.83,1051,79.56
1208,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.0,100,"irrigated,rainfall",31.0,965,64.99
636,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,6.9,75,"irrigated,rainfall",20.39,345,16.56
2196,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.3,136,"irrigated,rainfall",28.82,1075,77.83
185,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,83,"irrigated,rainfall",21.9,610,56.51
1996,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.3,90,"irrigated,rainfall",21.88,424,90.47
944,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.8,120,rainfed,26.25,650,17.93
1804,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149,"irrigated,rainfall",18.22,611,65.0
1656,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.6,126,rainfed,18.08,1394,80.94
1778,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",30.56,462,89.76
511,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,6.3,111,"irrigated,rainfall",24.73,1156,19.86
800,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.1,86,"irrigated,rainfall",27.53,737,16.18
1134,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,74,"irrigated,rainfall",20.42,788,17.92
1394,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,5.0,90,"irrigated,rainfall",28.51,400,54.88
2405,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,6.2,175,irrigated,17.18,614,69.9
607,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,7.0,75,"irrigated,rainfall",44.2,350,19.95
1207,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.3,100,"irrigated,rainfall",33.27,882,63.06
151,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,83,"irrigated,rainfall",21.82,613,56.64
1557,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.7,101,rainfed,25.63,800,54.76
856,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,85,"irrigated,rainfall",27.55,740,16.43
1135,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.6,73,"irrigated,rainfall",23.53,852,17.79
874,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.0,85,"irrigated,rainfall",27.73,734,15.93
2275,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,138,"irrigated,rainfall",37.67,1039,70.72
